source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,impact_direction,source,corr_train,n_train
KOSPI,005930,KOSPI,272210,PARTNER,POSITIVE,price,-0.0383,714
KOSPI,047810,KOSPI,066570,PARTNER,NEGATIVE,price,-0.0555,1415
KOSPI,028260,KOSPI,316140,PARTNER,POSITIVE,price,0.0334,714
KOSPI,005930,NASDAQ,AAPL,COMPETE,POSITIVE,price,0.0292,1413
KOSPI,015760,KOSPI,030200,PARTNER,POSITIVE,price,0.202,1415
KOSPI,005930,NASDAQ,INTC,COMPETE,POSITIVE,price,0.038,1413
KOSPI,055550,NASDAQ,GOOGL,PARTNER,POSITIVE,price,0.0137,1413
KOSPI,017670,NASDAQ,QCOM,PARTNER,POSITIVE,price,-0.0084,1413
KOSPI,015760,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,018260,KOSPI,030200,PARTNER,POSITIVE,price,-0.0205,1415
KOSPI,005380,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,010120,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,012450,KOSPI,272210,PARTNER,POSITIVE,price,0.3351,714
KOSPI,032640,KOSPI,064400,PARTNER,POSITIVE,fallback,,0
KOSPI,003490,KOSPI,079550,PARTNER,POSITIVE,price,-0.0101,1415
KOSPI,105560,NASDAQ,GOOGL,PARTNER,POSITIVE,price,0.0128,1413
KOSPI,005380,KOSPI,010130,PARTNER,POSITIVE,price,-0.0436,1415
KOSPI,010140,KOSPI,011200,PARTNER,POSITIVE,price,0.0,1415
KOSPI,009150,KOSPI,011070,COMPETE,POSITIVE,price,0.3705,1415
KOSPI,011070,KOSPI,055550,PARTNER,NEGATIVE,price,-0.1663,1415
KOSPI,017670,NASDAQ,NFLX,PARTNER,POSITIVE,price,-0.0112,1413
KOSPI,030200,KOSPI,071050,PARTNER,NEGATIVE,price,-0.0812,1415
KOSPI,005930,NASDAQ,CSCO,PARTNER,POSITIVE,price,0.0117,1413
KOSPI,005380,NASDAQ,AMZN,PARTNER,POSITIVE,price,-0.0149,1413
KOSPI,009150,NASDAQ,AAPL,SUPPLY,POSITIVE,price,0.0406,1413
KOSPI,005490,KOSPI,028050,PARTNER,POSITIVE,price,0.0689,1415
KOSPI,000660,NASDAQ,ASML,PARTNER,POSITIVE,price,0.0829,1413
KOSPI,009540,KOSPI,011200,PARTNER,POSITIVE,price,-0.0172,1415
KOSPI,066570,NASDAQ,NVDA,PARTNER,POSITIVE,price,0.0297,1413
KOSPI,003670,KOSPI,105560,PARTNER,NEGATIVE,price,-0.1553,1415
KOSPI,005490,KOSPI,042660,PARTNER,POSITIVE,price,0.0093,1415
KOSPI,035720,KOSPI,271560,PARTNER,POSITIVE,price,0.0844,1182
KOSPI,035420,KOSPI,090430,PARTNER,POSITIVE,price,0.1,1415
KOSPI,012330,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
NASDAQ,MSFT,NASDAQ,WDAY,PARTNER,POSITIVE,price,0.0683,1463
KOSPI,030200,KOSPI,066570,PARTNER,NEGATIVE,price,-0.0709,1415
KOSPI,005930,NASDAQ,NVDA,SUPPLY,POSITIVE,price,0.0668,1413
KOSPI,035420,KOSPI,066570,PARTNER,POSITIVE,price,0.0457,1415
KOSPI,066570,NASDAQ,MSFT,PARTNER,POSITIVE,price,0.0456,1413
KOSPI,017670,NASDAQ,NVDA,PARTNER,POSITIVE,price,-0.0478,1413
KOSPI,042660,KOSPI,267250,COMPETE,POSITIVE,price,0.2306,1182
KOSPI,0126Z0,KOSPI,068270,COMPETE,POSITIVE,price,,0
KOSPI,032640,KOSPI,316140,PARTNER,POSITIVE,price,0.1031,714
KOSPI,005930,KOSPI,066570,COMPETE,POSITIVE,price,0.0876,1415
NASDAQ,AMD,NASDAQ,INTC,COMPETE,POSITIVE,price,-0.0557,1463
KOSPI,373220,NASDAQ,TSLA,SUPPLY,POSITIVE,fallback,,0
KOSPI,005380,KOSPI,017670,PARTNER,POSITIVE,price,0.0047,1415
KOSPI,024110,KOSPI,035420,PARTNER,NEGATIVE,price,-0.1182,1415
KOSPI,017670,KOSPI,402340,PARTNER,POSITIVE,fallback,,0
KOSPI,066970,NASDAQ,TSLA,SUPPLY,POSITIVE,price,0.1069,1413
KOSPI,005930,KOSPI,047040,PARTNER,NEGATIVE,price,-0.1089,1415
KOSPI,005490,KOSPI,066570,PARTNER,NEGATIVE,price,-0.0511,1415
KOSPI,096770,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,066570,NASDAQ,QCOM,PARTNER,POSITIVE,price,-0.0344,1413
KOSPI,000270,KOSPI,005380,PARTNER,POSITIVE,price,0.6308,1415
KOSPI,010120,KOSPI,066570,PARTNER,POSITIVE,price,-0.0185,1415
KOSPI,015760,KOSPI,066570,PARTNER,POSITIVE,price,-0.0454,1415
NASDAQ,TSLA,NASDAQ,PEP,SUPPLY,NEGATIVE,price,-0.1107,1463
KOSPI,088350,KOSPI,316140,PARTNER,POSITIVE,price,0.1783,714
KOSPI,005930,NASDAQ,WDC,PARTNER,POSITIVE,price,0.0212,1413
KOSPI,005930,KOSPI,316140,PARTNER,POSITIVE,price,0.0248,714
KOSPI,000270,KOSPI,161390,PARTNER,POSITIVE,price,0.1691,1415
KOSPI,035420,KOSPI,035720,COMPETE,POSITIVE,price,0.4394,1415
KOSPI,000660,NASDAQ,QCOM,PARTNER,POSITIVE,price,0.0201,1413
KOSPI,032640,KOSPI,035420,PARTNER,POSITIVE,price,-0.0002,1415
KOSPI,017670,KOSPI,105560,PARTNER,POSITIVE,price,0.0787,1415
KOSPI,005930,KOSPI,015760,PARTNER,NEGATIVE,price,-0.1033,1415
KOSPI,034020,KOSPI,064350,PARTNER,POSITIVE,price,0.1014,1415
NASDAQ,AVGO,NASDAQ,MRVL,COMPETE,POSITIVE,price,0.2096,1463
KOSPI,005380,KOSPI,030200,PARTNER,POSITIVE,price,0.0357,1415
KOSPI,000810,KOSPI,316140,PARTNER,POSITIVE,price,0.233,714
KOSPI,012330,KOSPI,086790,PARTNER,POSITIVE,price,0.0223,1415
KOSPI,030200,NASDAQ,NFLX,PARTNER,POSITIVE,price,-0.0339,1413
KOSPI,029780,NASDAQ,SBUX,PARTNER,POSITIVE,price,0.0118,1413
KOSPI,000660,NASDAQ,MU,COMPETE,POSITIVE,price,0.3058,1413
KOSPI,005380,KOSPI,064350,PARTNER,NEGATIVE,price,-0.0596,1415
KOSPI,030200,KOSPI,051910,PARTNER,NEGATIVE,price,-0.1017,1415
KOSPI,035420,NASDAQ,PDD,PARTNER,POSITIVE,price,-0.0035,950
KOSPI,005930,NASDAQ,GOOGL,PARTNER,POSITIVE,price,0.034,1413
NASDAQ,GOOGL,NASDAQ,QCOM,PARTNER,POSITIVE,price,0.0274,1463
KOSPI,051910,NASDAQ,TSLA,SUPPLY,POSITIVE,price,0.1085,1413
KOSPI,003670,KOSPI,006400,SUPPLY,POSITIVE,price,0.3388,1415
KOSPI,0126Z0,NASDAQ,AMGN,COMPETE,POSITIVE,price,,0
KOSPI,047810,KOSPI,064350,PARTNER,POSITIVE,price,0.104,1415
KOSPI,015760,KOSPI,028260,PARTNER,POSITIVE,price,0.0569,1415
KOSPI,035420,NASDAQ,SBUX,PARTNER,POSITIVE,price,-0.0493,1413
KOSPI,003490,KOSPI,030200,PARTNER,POSITIVE,price,-0.0385,1415
KOSPI,035420,NASDAQ,NVDA,PARTNER,POSITIVE,price,0.0748,1413
KOSPI,055550,KOSPI,377300,PARTNER,NEGATIVE,price,-0.1819,235
KOSPI,012450,KOSPI,042660,PARTNER,POSITIVE,price,0.0118,1415
KOSPI,003490,KOSPI,047810,PARTNER,POSITIVE,price,-0.0125,1415
KOSPI,000720,KOSPI,005380,PARTNER,NEGATIVE,price,-0.0597,1415
KOSPI,000660,KOSPI,402340,PARTNER,POSITIVE,fallback,,0
KOSPI,009540,KOSPI,042660,COMPETE,POSITIVE,price,0.4276,1415
KOSPI,006800,KOSPI,086790,PARTNER,POSITIVE,price,0.1166,1415
KOSPI,035420,KOSPI,035720,PARTNER,POSITIVE,price,0.4394,1415
KOSPI,267250,KOSPI,267270,PARTNER,POSITIVE,price,0.0719,1182
KOSPI,017670,KOSPI,316140,PARTNER,POSITIVE,price,0.0338,714
KOSPI,005380,KOSPI,086280,PARTNER,POSITIVE,price,0.3581,1415
KOSPI,016360,KOSPI,024110,PARTNER,POSITIVE,price,0.2107,1415
KOSPI,066570,NASDAQ,GOOGL,PARTNER,POSITIVE,price,0.0323,1413
KOSPI,032640,KOSPI,066570,PARTNER,POSITIVE,price,-0.0405,1415
KOSPI,051910,KOSPI,096770,COMPETE,POSITIVE,price,0.1764,1415
KOSPI,005930,NASDAQ,MSFT,PARTNER,POSITIVE,price,0.0408,1413
KOSPI,000660,NASDAQ,NVDA,PARTNER,POSITIVE,price,0.0537,1413
KOSPI,055550,KOSPI,105560,COMPETE,POSITIVE,price,0.6399,1415
KOSPI,005930,NASDAQ,QCOM,PARTNER,POSITIVE,price,-0.0,1413
KOSPI,006400,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
NASDAQ,AMD,NASDAQ,NVDA,COMPETE,POSITIVE,price,0.4171,1463
KOSPI,000660,NASDAQ,INTC,COMPETE,POSITIVE,price,0.0391,1413
KOSPI,005930,NASDAQ,TSLA,PARTNER,POSITIVE,price,-0.0124,1413
KOSPI,042660,KOSPI,329180,PARTNER,POSITIVE,price,0.3987,235
