source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,000720,KOSPI,055550,PARTNER,30D,8.595,NEGATIVE,0.738,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,024110,KOSPI,032640,PARTNER,30D,12.5325,POSITIVE,0.6,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,029780,KOSPI,377300,PARTNER,30D,14.6175,NEGATIVE,0.677,11,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,042700,NASDAQ,MU,SUPPLY,30D,27.4725,POSITIVE,0.708,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,003490,NASDAQ,SBUX,PARTNER,30D,6.66,POSITIVE,0.8,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,047810,NASDAQ,SPCX,PARTNER,30D,19.7925,POSITIVE,0.633,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,015760,KOSPI,017670,PARTNER,30D,18.7725,POSITIVE,0.766,29,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,0126Z0,KOSPI,128940,PARTNER,30D,34.3875,POSITIVE,0.733,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032640,NASDAQ,GOOGL,PARTNER,30D,33.045,POSITIVE,0.677,46,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,018260,KOSPI,064400,COMPETE,30D,26.405,POSITIVE,0.7,16,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,034020,KOSPI,047040,PARTNER,30D,19.1875,POSITIVE,0.767,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,003490,KOSPI,035420,PARTNER,30D,9.69,POSITIVE,0.716,23,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,029780,KOSPI,323410,PARTNER,30D,15.465,NEGATIVE,0.6,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,003670,KOSPI,373220,PARTNER,30D,64.53,POSITIVE,0.611,73,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,NASDAQ,AMD,PARTNER,30D,32.2425,POSITIVE,0.66,79,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,042660,KOSPI,329180,COMPETE,30D,63.285,POSITIVE,0.713,143,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,042700,KOSPI,000660,SUPPLY,30D,40.2875,POSITIVE,0.716,29,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035420,KOSPI,352820,PARTNER,30D,13.9025,POSITIVE,0.647,45,rel-v0.2-typed,2026-09-14T00:00:00Z
